Bedroom,Bathroom,Property Size,Latitude,Longitude,Parking Lot,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,price
4,3,1654,2.9179726,101.6840801,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,670000
3,2,1000,2.9948437,101.7896595,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,295000
3,2,700,5.4647757,100.284463,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,320000
3,2,1400,3.0340649,101.7055684,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,410000
3,2,650,3.3194747,101.5748537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
2,1,560,3.17861145,101.6954799,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,148000
3,2,900,3.116139,101.6221639,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380500
3,2,1598,5.3207108,100.2681554,2,0,0,1,0,1,0,1,1,1,0,1,0,1,0,620000
3,2,900,3.1432113,101.6113803,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380000
3,2,900,3.1264965,101.6175463,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380300
3,2,1001,2.9948437,101.7896595,2,0,0,0,0,1,1,0,1,1,0,1,0,0,0,280000
3,2,850,1.4581986,103.7649059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
4,2,1180,1.4494162,103.5872736,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,298000
4,2,1385,1.5369721,103.662103,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,469000
3,2,800,3.0342324,101.6170345,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,270000
3,2,983,3.073076,101.7626851,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,320000
3,3,1515,2.9179726,101.6840801,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,550000
3,3,1711,1.5597561,110.345397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470000
3,2,850,3.1701003,101.6048155,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,245000
3,3,1667,1.5597561,110.345397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580000
5,2,2020,1.5597561,110.345397,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650000
3,2,1012,3.2377898,101.6813599,3,1,0,1,0,1,1,1,1,1,1,1,0,1,0,369900
3,2,650,5.3873462,100.3145585,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,320000
3,2,650,3.1077904,101.4621432,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,220000
1,1,477,2.941765,101.8205497,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,220000
3,2,1117,4.5986817,101.0900236,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,320000
2,1,516,1.5369721,103.662103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000
2,1,494,1.5369721,103.662103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
3,3,1200,3.17861145,101.6954799,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,530000
4,3,1300,3.17861145,101.6954799,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,518000
2,1,526,1.5369721,103.662103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000
3,2,1261,3.0639307,101.7080538,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,659900
3,3,1690,3.0614989,101.6870879,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,738000
4,3,1300,3.17861145,101.6954799,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,545000
3,2,675,3.2026423,101.6372464,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,97999
3,2,610,1.5369721,103.662103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128000
3,2,850,1.4581986,103.7649059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000
3,2,1000,3.17861145,101.6954799,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,450000
3,2,1000,3.17861145,101.6954799,2,1,0,1,0,0,0,1,0,1,1,0,0,1,0,445000
1,1,434,1.4581986,103.7649059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205000
3,2,750,1.4865019,103.8854334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135000
2,1,525,1.5369721,103.662103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
3,2,929,2.8029227,101.8001051,2,0,0,1,1,1,0,0,1,1,0,1,0,1,0,290000
3,3,1515,2.9179726,101.6840801,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,550000
3,2,1350,2.2176147,102.2734112,2,1,0,1,0,1,0,1,1,1,1,1,0,1,0,548000
3,2,1065,1.4581986,103.7649059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
2,2,876,1.4581986,103.7649059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
3,2,1066,3.0959134,101.5903788,2,1,0,0,1,0,0,1,1,1,0,1,0,1,0,560000
1,1,678,1.4581986,103.7649059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000
3,2,850,5.8626228,116.1138146,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,298000
3,2,753,5.3873462,100.3145585,2,0,0,1,1,0,1,0,1,1,1,1,1,1,1,650000
6,5,2896,2.9338908,101.6455587,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1095000
3,2,1001,2.1942647,102.2486651,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200000
3,3,1654,2.9179726,101.6840801,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,437400
3,2,861,1.4581986,103.7649059,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,290000
3,2,1053,2.9948437,101.7896595,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,225500
3,2,1081,3.17861145,101.6954799,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,465500
3,2,900,3.18934865,101.6811497,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,250000
2,2,1100,5.2948137,100.2595968,3,0,0,1,0,1,0,0,1,0,0,1,0,1,0,850000
3,2,1011,3.2377898,101.6813599,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,300000
3,2,1190,3.0739429,101.5185278,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,488000
3,2,850,1.4581986,103.7649059,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,335000
1,1,450,3.051487,101.5823339,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,368000
3,2,818,3.0991919,101.7374229,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,340000
3,2,850,5.2948137,100.2595968,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,447000
3,2,950,3.0738801,101.6716058,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,450000
3,2,776,3.2537121,101.6539012,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,178000
3,1,650,3.1077904,101.4621432,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,220000
3,2,850,3.1701003,101.6048155,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,245000
3,2,932,3.0568568,101.7898004,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,300000
3,2,656,5.4686686,100.2783191,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,230000
4,2,1340,3.2058319,101.7319177,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,630000
3,2,688,3.0852015,101.437697,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150000
3,1,603,3.1275364,101.6790964,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,235000
3,2,1048,3.0991919,101.7374229,2,1,0,1,1,1,1,1,1,1,0,1,0,0,1,450000
3,2,800,5.2948137,100.2595968,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,345000
3,2,750,5.2948137,100.2595968,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,345000
3,2,650,5.3207108,100.2681554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276000
3,2,700,5.4063559,100.2827321,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,260000
3,2,970,5.4446895,100.4293574,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,300000
3,2,1200,5.3207108,100.2681554,2,0,0,1,1,0,0,0,1,1,0,1,0,1,0,555000
3,2,900,2.2507491,102.2542092,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,290000
3,2,1021,3.0841851,101.7035521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,339000
3,2,810,3.0991919,101.7374229,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,288000
3,2,1046,3.0340649,101.7055684,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,220000
3,3,1045,3.0639307,101.7080538,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,560000
3,2,700,5.4063559,100.2827321,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,380000
3,2,700,5.4063559,100.2827321,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,340000
3,2,900,5.2948137,100.2595968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000
3,2,700,5.4063559,100.2827321,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,350000
3,2,750,5.2948137,100.2595968,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,250000
